epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.434,2.55819,3.53356,2.02906,0.68231,0.20961,0.43388,0.22892,1.44822,2.6305,1.11027,0.000660066,0.000660066,0.000660066
2,147.111,2.29345,2.96686,1.83727,0.64485,0.63415,0.64426,0.37505,1.51318,2.05042,1.217,0.0013136,0.0013136,0.0013136
3,216.066,2.2393,2.96044,1.80164,0.62729,0.47211,0.54003,0.27863,1.59271,2.00624,1.24876,0.00195393,0.00195393,0.00195393
4,298.418,2.16541,2.73351,1.82487,0.82423,0.74341,0.79791,0.43432,1.55333,2.07609,1.26994,0.0019406,0.0019406,0.0019406
5,392.087,2.08952,2.63626,1.75934,0.87858,0.69512,0.82864,0.46568,1.39532,1.35909,1.17684,0.0019208,0.0019208,0.0019208
6,486.366,2.09485,2.57165,1.7931,0.84783,0.82927,0.90516,0.54166,1.34137,1.24274,1.20266,0.001901,0.001901,0.001901
7,580.526,2.04466,2.50406,1.76894,0.9332,0.78049,0.89545,0.58449,1.26775,1.1709,1.18178,0.0018812,0.0018812,0.0018812
8,674.92,2.01625,2.41737,1.7317,0.86536,0.79268,0.88505,0.56205,1.21439,1.12079,1.09406,0.0018614,0.0018614,0.0018614
9,768.527,1.93091,2.40948,1.71896,0.81987,0.79268,0.89788,0.56531,1.27357,1.1423,1.09194,0.0018416,0.0018416,0.0018416
10,861.915,1.94548,2.41725,1.70031,0.81618,0.81227,0.90148,0.55856,1.28061,1.12866,1.18645,0.0018218,0.0018218,0.0018218
11,954.596,1.90893,2.38858,1.66998,0.84587,0.84146,0.91409,0.62664,1.20381,1.20675,1.12081,0.001802,0.001802,0.001802
12,1047.5,1.98556,2.42253,1.75314,0.97063,0.80598,0.9285,0.59444,1.20811,1.15879,1.08569,0.0017822,0.0017822,0.0017822
13,1140.13,1.80777,2.29307,1.62523,0.90172,0.89517,0.93914,0.66665,1.01019,0.91569,1.01561,0.0017624,0.0017624,0.0017624
14,1232.76,1.87616,2.27378,1.66425,0.8981,0.89024,0.94255,0.6346,1.11599,0.95391,1.05801,0.0017426,0.0017426,0.0017426
15,1301.44,1.83881,2.26235,1.69603,0.86959,0.95122,0.96927,0.68659,1.0315,0.9339,1.03362,0.0017228,0.0017228,0.0017228
16,1364.33,1.85709,2.25406,1.64045,0.90874,0.89024,0.96683,0.69535,0.98675,0.92185,1.00848,0.001703,0.001703,0.001703
17,1427.83,1.77806,2.19437,1.62121,0.78879,0.95122,0.93582,0.58428,1.21009,0.99009,1.06963,0.0016832,0.0016832,0.0016832
18,1493.96,1.82989,2.25471,1.61755,0.9603,0.88509,0.96429,0.64577,1.09003,0.82807,1.03409,0.0016634,0.0016634,0.0016634
19,1557.21,1.78569,2.18651,1.61421,0.94527,0.8426,0.96005,0.63399,1.11206,0.86839,1.03049,0.0016436,0.0016436,0.0016436
20,1623.63,1.76481,2.18107,1.64762,0.87853,0.88206,0.93151,0.62911,1.13261,1.01978,1.03404,0.0016238,0.0016238,0.0016238
21,1688.19,1.77585,2.13927,1.62126,0.97089,0.8136,0.92309,0.63128,1.09739,0.99599,1.01132,0.001604,0.001604,0.001604
22,1752.19,1.80577,2.21075,1.62595,0.92178,0.90244,0.9562,0.6686,1.03283,0.76945,0.99755,0.0015842,0.0015842,0.0015842
23,1815.49,1.75632,2.1244,1.62211,0.87237,0.83357,0.90719,0.59008,1.16467,0.9594,1.03297,0.0015644,0.0015644,0.0015644
24,1879.64,1.71056,2.17442,1.58086,0.97297,0.87801,0.96296,0.66967,1.09052,0.78929,1.00039,0.0015446,0.0015446,0.0015446
25,1943.89,1.72662,2.1588,1.60916,0.91036,0.91463,0.96196,0.70098,1.01408,0.73635,0.97888,0.0015248,0.0015248,0.0015248
26,2008.67,1.75664,2.27844,1.61509,0.91327,0.93902,0.96358,0.65749,1.09818,0.7819,1.04408,0.001505,0.001505,0.001505
27,2072.22,1.70004,2.12655,1.58194,0.91705,0.94378,0.97872,0.70291,1.07074,0.69365,1.01248,0.0014852,0.0014852,0.0014852
28,2135.09,1.71202,2.10089,1.56787,0.88099,0.91463,0.94918,0.68748,1.01472,0.79014,0.98913,0.0014654,0.0014654,0.0014654
29,2197.99,1.67952,2.10237,1.59984,1,0.88493,0.97172,0.67188,1.06979,0.73119,1.01122,0.0014456,0.0014456,0.0014456
30,2261.1,1.69296,2.06237,1.54968,0.92896,0.91463,0.97481,0.68917,1.06163,0.72264,0.98383,0.0014258,0.0014258,0.0014258
31,2324.52,1.67836,2.0706,1.55616,0.90441,0.95122,0.97287,0.70164,0.97808,0.6915,0.97763,0.001406,0.001406,0.001406
32,2388.4,1.6509,2.04364,1.54383,0.93562,0.91463,0.97038,0.68727,1.03537,0.70406,0.97827,0.0013862,0.0013862,0.0013862
33,2450.53,1.65506,2.06715,1.56674,0.93706,0.96341,0.98225,0.68476,1.03626,0.70759,0.99405,0.0013664,0.0013664,0.0013664
34,2512.83,1.68099,2.03418,1.59372,0.90588,0.95122,0.97344,0.70641,0.97741,0.65825,0.9613,0.0013466,0.0013466,0.0013466
35,2575.08,1.63588,2.01538,1.54055,0.9505,0.93666,0.97613,0.71188,1.00198,0.68202,0.97898,0.0013268,0.0013268,0.0013268
36,2638.04,1.64164,2.01393,1.54558,0.92855,0.95096,0.98224,0.70786,1.03036,0.64557,0.97778,0.001307,0.001307,0.001307
37,2700.56,1.61905,1.95494,1.51293,0.97303,0.95122,0.98847,0.71451,1.04839,0.6437,0.98221,0.0012872,0.0012872,0.0012872
38,2759.44,1.63784,2.05582,1.55438,0.96244,0.93748,0.9748,0.68327,1.10916,0.67954,0.99823,0.0012674,0.0012674,0.0012674
39,2818.28,1.62837,1.99486,1.54109,0.95036,0.93902,0.97809,0.7059,0.98928,0.66057,0.97094,0.0012476,0.0012476,0.0012476
40,2877.1,1.64345,2.01108,1.53797,0.97417,0.91989,0.97783,0.69176,1.07354,0.67486,0.99382,0.0012278,0.0012278,0.0012278
41,2936.12,1.5991,1.92736,1.50217,0.96779,0.91463,0.97885,0.70302,1.02799,0.66258,0.961,0.001208,0.001208,0.001208
42,2995.37,1.56773,1.94488,1.49668,0.96648,0.91463,0.97627,0.73462,0.93489,0.63154,0.9345,0.0011882,0.0011882,0.0011882
43,3054.32,1.57774,1.96664,1.51863,0.94366,0.90244,0.97361,0.70534,0.99637,0.68627,0.95908,0.0011684,0.0011684,0.0011684
44,3113.5,1.61418,2.01524,1.5341,0.91698,0.94286,0.97868,0.71594,0.99114,0.62957,0.95735,0.0011486,0.0011486,0.0011486
45,3172.85,1.57231,1.86904,1.4828,0.96878,0.91463,0.98379,0.68458,1.02051,0.62757,0.96378,0.0011288,0.0011288,0.0011288
46,3231.94,1.62371,1.96694,1.56367,0.90762,0.9586,0.9765,0.69404,0.98756,0.66569,0.95441,0.001109,0.001109,0.001109
47,3291.02,1.58166,1.90846,1.52052,0.93988,0.95319,0.98146,0.68577,1.03018,0.61301,0.98596,0.0010892,0.0010892,0.0010892
48,3350.3,1.56726,1.88699,1.51244,0.94925,0.97561,0.9883,0.68866,1.05906,0.6377,1.01817,0.0010694,0.0010694,0.0010694
49,3409.62,1.52312,1.79704,1.48868,0.98025,0.90244,0.98515,0.71865,0.99237,0.60353,0.9696,0.0010496,0.0010496,0.0010496
50,3468.77,1.56073,1.80732,1.49867,0.93869,0.93367,0.98454,0.71982,0.94909,0.57292,0.93954,0.0010298,0.0010298,0.0010298
51,3527.95,1.58906,1.90946,1.52661,0.9512,0.97561,0.98802,0.70208,1.01734,0.57597,0.9548,0.00101,0.00101,0.00101
52,3587.11,1.53225,1.82318,1.48679,0.94096,0.97177,0.98335,0.71665,0.93778,0.57213,0.93631,0.0009902,0.0009902,0.0009902
53,3646.45,1.52937,1.77878,1.4902,0.93958,0.94821,0.97773,0.7289,0.93197,0.63015,0.93304,0.0009704,0.0009704,0.0009704
54,3716.15,1.5396,1.80308,1.47557,0.93889,0.92683,0.97465,0.70828,0.9746,0.68275,0.94437,0.0009506,0.0009506,0.0009506
55,3788.4,1.51336,1.81031,1.46546,0.93054,0.96341,0.98081,0.74246,0.89907,0.66032,0.92698,0.0009308,0.0009308,0.0009308
56,3847.59,1.55746,1.83338,1.49147,0.94113,0.97478,0.98113,0.69212,1.02459,0.64822,0.96047,0.000911,0.000911,0.000911
57,3907.44,1.50396,1.77233,1.45115,0.98714,0.93641,0.98519,0.72497,0.95381,0.57524,0.933,0.0008912,0.0008912,0.0008912
58,3966.13,1.50582,1.74793,1.47407,0.97526,0.96341,0.99143,0.70696,0.97723,0.59148,0.96159,0.0008714,0.0008714,0.0008714
59,4025.37,1.49897,1.7542,1.49687,0.97621,0.91463,0.97966,0.71673,0.97177,0.60809,0.95142,0.0008516,0.0008516,0.0008516
60,4084.93,1.48983,1.7768,1.46921,0.96187,0.92301,0.9839,0.73633,0.9384,0.59363,0.93121,0.0008318,0.0008318,0.0008318
61,4144.81,1.47741,1.73895,1.44262,0.91497,0.93902,0.98109,0.73294,0.92717,0.59685,0.92882,0.000812,0.000812,0.000812
62,4204.04,1.47853,1.75137,1.43458,0.92539,0.96341,0.98385,0.73867,0.93049,0.59083,0.93877,0.0007922,0.0007922,0.0007922
63,4263.39,1.45453,1.70535,1.4433,0.98185,0.91463,0.98665,0.73864,0.95027,0.58088,0.92666,0.0007724,0.0007724,0.0007724
64,4322.69,1.48304,1.73848,1.46282,0.96115,0.92683,0.98572,0.73679,0.95066,0.56986,0.93122,0.0007526,0.0007526,0.0007526
65,4381.54,1.45081,1.71473,1.43807,0.9772,0.93902,0.98539,0.72263,0.9329,0.59685,0.92422,0.0007328,0.0007328,0.0007328
66,4441.32,1.48025,1.68978,1.44108,0.97201,0.96341,0.98468,0.73194,0.96881,0.60414,0.93858,0.000713,0.000713,0.000713
67,4500.51,1.45915,1.6558,1.42141,0.9514,0.96341,0.97957,0.73696,0.94917,0.62105,0.942,0.0006932,0.0006932,0.0006932
68,4559.2,1.4245,1.60787,1.39395,0.95071,0.94081,0.97999,0.72736,0.97346,0.6383,0.94697,0.0006734,0.0006734,0.0006734
69,4617.99,1.43448,1.65513,1.43458,0.98615,0.95122,0.98498,0.74076,0.94586,0.56819,0.93315,0.0006536,0.0006536,0.0006536
70,4676.99,1.45546,1.61975,1.43424,0.99475,0.95122,0.98414,0.72984,0.94576,0.57552,0.95024,0.0006338,0.0006338,0.0006338
71,4736.54,1.43157,1.61415,1.41554,0.97494,0.94892,0.99088,0.73934,0.96585,0.52086,0.94676,0.000614,0.000614,0.000614
72,4795.55,1.44748,1.65127,1.42774,0.93763,0.95122,0.97776,0.71999,0.96174,0.64951,0.95078,0.0005942,0.0005942,0.0005942
73,4854.57,1.41696,1.63419,1.43282,0.97393,0.91104,0.97844,0.72651,0.96138,0.58363,0.94113,0.0005744,0.0005744,0.0005744
74,4913.84,1.43122,1.61573,1.40371,0.99607,0.91463,0.98164,0.73302,0.95767,0.54262,0.93344,0.0005546,0.0005546,0.0005546
75,4972.8,1.39577,1.58252,1.39924,0.92988,0.9704,0.98613,0.73082,0.92914,0.54846,0.92417,0.0005348,0.0005348,0.0005348
76,5032.23,1.43174,1.6435,1.4298,0.97488,0.94673,0.98859,0.74729,0.91511,0.52224,0.9178,0.000515,0.000515,0.000515
77,5091.58,1.40813,1.61631,1.41166,0.96265,0.94294,0.98748,0.73776,0.93977,0.53939,0.93285,0.0004952,0.0004952,0.0004952
78,5150.75,1.4009,1.57215,1.3866,0.98698,0.92444,0.98693,0.72987,0.94764,0.53104,0.9236,0.0004754,0.0004754,0.0004754
79,5209.63,1.40899,1.5921,1.41806,0.98659,0.89702,0.97933,0.73911,0.93928,0.61474,0.92697,0.0004556,0.0004556,0.0004556
80,5269.06,1.41348,1.57231,1.42772,0.91386,0.95122,0.97918,0.72319,0.95276,0.59984,0.94462,0.0004358,0.0004358,0.0004358
81,5328.36,1.36585,1.48867,1.37115,0.98468,0.95122,0.98641,0.73637,0.93134,0.54175,0.93929,0.000416,0.000416,0.000416
82,5387.74,1.38698,1.52392,1.40165,0.98376,0.95122,0.9845,0.73194,0.95048,0.55188,0.92949,0.0003962,0.0003962,0.0003962
83,5447.07,1.37595,1.60721,1.40764,0.98454,0.95122,0.98517,0.72996,0.93984,0.54217,0.92256,0.0003764,0.0003764,0.0003764
84,5506.02,1.3602,1.51727,1.39213,0.98464,0.95122,0.98636,0.71526,0.97335,0.5501,0.93277,0.0003566,0.0003566,0.0003566
85,5565.3,1.34915,1.46379,1.35443,0.98532,0.95122,0.98809,0.72934,0.95573,0.55093,0.93182,0.0003368,0.0003368,0.0003368
86,5624.7,1.38128,1.57118,1.39601,0.98657,0.95122,0.9907,0.73857,0.95763,0.50351,0.93974,0.000317,0.000317,0.000317
87,5684.31,1.35581,1.50561,1.38423,0.98356,0.95122,0.98915,0.73721,0.95812,0.52043,0.9342,0.0002972,0.0002972,0.0002972
88,5743.26,1.35064,1.50282,1.37569,0.98505,0.95122,0.98854,0.73352,0.97222,0.5317,0.93566,0.0002774,0.0002774,0.0002774
89,5802.61,1.35113,1.48322,1.36103,0.9634,0.96301,0.99153,0.74579,0.9416,0.48965,0.931,0.0002576,0.0002576,0.0002576
90,5862.06,1.34225,1.48376,1.33525,0.96135,0.96341,0.99101,0.74103,0.93383,0.47622,0.92029,0.0002378,0.0002378,0.0002378
91,5920.88,1.28393,1.47262,1.4054,0.96247,0.93828,0.98301,0.72498,0.96678,0.55271,0.93978,0.000218,0.000218,0.000218
92,5979.97,1.25745,1.38635,1.38434,0.96285,0.94836,0.98427,0.73199,0.93778,0.52644,0.93606,0.0001982,0.0001982,0.0001982
93,6038.63,1.26349,1.41747,1.40455,0.96341,0.96338,0.98835,0.74094,0.93715,0.51125,0.92818,0.0001784,0.0001784,0.0001784
94,6096.93,1.25134,1.40682,1.40433,0.96334,0.96147,0.98794,0.72869,0.95777,0.53418,0.93316,0.0001586,0.0001586,0.0001586
95,6155.55,1.24696,1.34889,1.37386,0.96308,0.96341,0.98834,0.74127,0.92631,0.52019,0.92822,0.0001388,0.0001388,0.0001388
96,6214.36,1.23219,1.37101,1.38653,0.96186,0.96341,0.98765,0.74183,0.91723,0.51955,0.92356,0.000119,0.000119,0.000119
97,6273.17,1.21374,1.30066,1.36352,0.95882,0.96341,0.9882,0.73717,0.9329,0.52399,0.92576,9.92e-05,9.92e-05,9.92e-05
